id,date,employee,status
1,6/16/2018,6,absent
2,3/28/2018,3,absent
3,6/9/2018,6,absent
4,9/1/2018,3,sick
5,4/12/2018,4,sick
6,3/13/2019,0,absent
7,5/18/2018,0,present
8,3/27/2018,3,sick
9,11/22/2018,2,present
10,6/15/2018,1,sick
11,6/21/2018,9,sick
12,6/24/2018,3,present
13,3/31/2018,9,sick
14,6/3/2018,4,absent
15,4/12/2018,6,absent
16,11/1/2018,8,present
17,9/22/2018,2,present
18,4/15/2018,6,absent
19,9/20/2018,0,present
20,5/3/2018,2,sick
21,1/13/2019,6,sick
22,1/8/2019,1,sick
23,12/4/2018,2,absent
24,5/5/2018,7,present
25,6/28/2018,4,sick
26,6/8/2018,9,sick
27,3/12/2018,4,sick
28,3/7/2018,4,sick
29,9/7/2018,4,sick
30,6/25/2018,9,absent
31,8/11/2018,0,present
32,3/17/2018,9,present
33,8/27/2018,1,present
34,1/26/2019,6,present
35,4/22/2018,7,absent
36,1/6/2019,4,sick
37,5/28/2018,8,sick
38,8/30/2018,9,sick
39,8/31/2018,0,absent
40,9/22/2018,9,absent
41,5/15/2018,4,absent
42,12/2/2018,7,present
43,4/14/2018,7,absent
44,6/9/2018,6,sick
45,11/15/2018,4,sick
46,3/9/2018,7,absent
47,9/30/2018,4,present
48,7/12/2018,7,sick
49,7/28/2018,9,present
50,9/12/2018,5,absent
51,6/12/2018,3,present
52,12/30/2018,5,sick
53,6/11/2018,6,absent
54,5/28/2018,9,present
55,2/21/2019,3,sick
56,10/21/2018,9,absent
57,9/26/2018,3,absent
58,11/9/2018,3,sick
59,6/11/2018,4,present
60,12/21/2018,0,present
61,2/11/2019,4,sick
62,6/18/2018,8,present
63,3/22/2018,3,present
64,2/8/2019,0,sick
65,5/14/2018,8,present
66,3/3/2019,8,sick
67,10/9/2018,6,present
68,3/10/2019,1,present
69,8/6/2018,2,sick
70,8/18/2018,2,absent
71,6/8/2018,5,absent
72,2/25/2019,7,absent
73,10/19/2018,0,present
74,12/17/2018,4,absent
75,5/15/2018,0,absent
76,7/30/2018,4,sick
77,5/25/2018,6,sick
78,9/12/2018,1,present
79,7/24/2018,6,present
80,5/11/2018,2,present
81,11/13/2018,3,sick
82,8/4/2018,4,sick
83,11/18/2018,0,sick
84,6/22/2018,5,absent
85,11/6/2018,7,absent
86,2/21/2019,7,absent
87,12/19/2018,0,present
88,9/16/2018,2,sick
89,6/23/2018,7,absent
90,4/11/2018,0,present
91,10/26/2018,4,absent
92,4/11/2018,9,present
93,3/8/2019,8,absent
94,11/28/2018,9,sick
95,6/8/2018,6,absent
96,6/23/2018,7,absent
97,7/24/2018,7,sick
98,7/1/2018,4,sick
99,11/22/2018,3,absent
100,11/25/2018,5,present
101,3/2/2018,2,absent
102,1/4/2019,7,absent
103,9/8/2018,5,absent
104,11/24/2018,8,present
105,5/28/2018,2,absent
106,8/30/2018,4,present
107,12/17/2018,1,present
108,3/16/2019,1,present
109,8/28/2018,3,sick
110,11/1/2018,9,absent
111,5/23/2018,2,sick
112,1/25/2019,1,present
113,3/15/2018,4,absent
114,6/10/2018,1,absent
115,9/8/2018,6,absent
116,2/25/2019,8,present
117,6/2/2018,8,present
118,12/13/2018,7,sick
119,3/2/2018,4,present
120,11/10/2018,8,absent
121,2/10/2019,3,absent
122,7/23/2018,4,present
123,4/1/2018,3,present
124,3/16/2019,8,absent
125,3/9/2018,6,sick
126,3/25/2018,7,absent
127,11/8/2018,0,sick
128,11/8/2018,2,present
129,9/20/2018,4,present
130,4/21/2018,8,present
131,11/6/2018,7,sick
132,1/31/2019,6,present
133,7/30/2018,1,absent
134,8/8/2018,2,absent
135,6/30/2018,6,sick
136,10/12/2018,9,sick
137,4/26/2018,6,present
138,8/9/2018,9,sick
139,7/28/2018,0,sick
140,3/6/2019,6,absent
141,5/24/2018,0,sick
142,3/15/2019,2,present
143,3/9/2019,8,absent
144,5/6/2018,7,present
145,7/13/2018,5,present
146,3/28/2018,4,absent
147,6/24/2018,7,absent
148,1/27/2019,8,present
149,7/31/2018,7,present
150,12/2/2018,9,absent
151,12/10/2018,9,sick
152,3/31/2018,1,present
153,4/30/2018,9,absent
154,3/17/2018,7,absent
155,5/17/2018,7,present
156,2/1/2019,4,sick
157,4/8/2018,4,absent
158,2/2/2019,3,present
159,1/31/2019,5,present
160,2/9/2019,7,present
161,12/5/2018,2,sick
162,2/8/2019,3,present
163,6/9/2018,5,sick
164,6/4/2018,4,present
165,11/7/2018,7,present
166,7/26/2018,8,sick
167,6/26/2018,9,absent
168,2/2/2019,1,absent
169,1/30/2019,9,absent
170,3/10/2018,5,present
171,10/1/2018,7,present
172,3/13/2018,5,absent
173,6/15/2018,4,sick
174,9/24/2018,7,sick
175,11/27/2018,5,absent
176,4/16/2018,2,absent
177,1/8/2019,0,sick
178,7/15/2018,6,present
179,5/4/2018,3,absent
180,1/3/2019,6,present
181,3/3/2019,4,absent
182,3/27/2018,4,absent
183,3/12/2019,9,absent
184,3/2/2018,3,present
185,1/3/2019,7,present
186,5/14/2018,7,sick
187,9/17/2018,2,sick
188,11/24/2018,1,sick
189,1/26/2019,6,present
190,10/16/2018,3,sick
191,1/19/2019,2,absent
192,3/20/2018,5,sick
193,5/1/2018,9,sick
194,11/17/2018,5,sick
195,3/17/2018,4,present
196,10/10/2018,3,present
197,3/16/2019,6,sick
198,10/23/2018,2,absent
199,1/17/2019,4,present
200,12/16/2018,5,absent
